Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
The Baker's Dozen Chocochip Cake No Palm Oil Loaded with Dark Chocolate Chips,307.5,13.0,2.0,31.0,110.0,7.0,3.0,solid
Winkies Novo VANILLA CAKE Cake,300.1,12.0,5.8,24.9,435.2,5.5,0.0,solid
The Baker's Dozen Zero Maida Chocolate Brownie,378.5,23.0,4.0,20.0,130.0,7.0,0.0,solid
Winkies English Tea Cake,393.7,24.31,12.15,26.5,0.0,7.39,0.0,solid
The Baker'S Dozen Choco Chip Muffins,305.5,13.0,2.0,30.0,110.0,7.0,3.0,solid
Bauli Moonfils Croissants Strawberry,322.8,16.7,10.7,18.4,194.3,6.9,0.0,solid
"Open Secret Heart Shaped Chocolate Almond Brownie, No Maida, Zero Palm Oil",86.52,5.24,2.93,7.29,35.87,3.34,1.68,solid
Havmor Mud Cake Ice Cream Cake,293.3,10.5,6.2,37.3,43.7,4.6,0.0,solid
The Belgian Waffle Co Cookie & Cream Waffle Crisps,370.6,16.2,13.5,23.5,440.4,8.3,0.0,solid
Sunfeast Dark Fantasy Choco Rolls,418.1,18.1,9.4,41.5,79.1,7.1,0.0,solid
Dukes Waffy Chocolate Wafers,450.9,24.3,12.4,38.9,77.1,4.0,0.0,solid
The Belgian Waffle Co Classic Choco Crisps,382.9,18.7,15.5,23.6,605.0,7.2,0.0,liquid
Dr. Oetker Kuppies Chocolate Waffle,454.2,30.7,6.4,23.9,236.0,7.9,0.0,solid
Nova Nova Waffle Chips- Classic Chocolate Drizzle,279.7,10.0,7.27,29.8,114.69,4.9,1.8,solid
Dukes Waffy Strawberry Roll,394.5,12.9,7.3,50.3,127.1,5.2,0.0,solid
Dr. Oetker Kuppies Strawberry Waffle,469.0,30.6,5.7,24.6,169.2,6.1,0.0,solid
Nova Nova Best Bite Choco Filled Cones- Belgian Chocolate,370.0,17.0,13.0,33.0,60.0,7.0,3.0,solid
Mille Jowar Puffs,327.1,18.7,3.7,3.1,1064.5,6.7,3.7,solid
