Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
Whole masoor (Masoor ki dal),46.2,2.52,0.83,0.67,123.72,2.28,1.98,solid
Whole moth (Moth ki dal),46.5,2.62,0.86,0.66,125.08,2.01,1.85,solid
Whole urad (Urad ki dal),46.6,2.62,0.86,0.57,126.12,2.21,2.32,solid
Moti mahal dal (Urad rajmah mix dal),91.7,5.66,1.87,1.7,157.61,3.93,3.38,solid
Black channa curry/Bengal gram curry (Kale chane ki curry),124.1,6.61,2.18,2.36,358.63,5.67,7.99,solid
Chickpeas curry (Safed channa curry),139.0,6.84,2.26,4.78,357.99,6.1,4.73,solid
Lobia curry,121.5,5.62,1.85,2.51,355.41,6.06,4.57,solid
Soyabean curry,163.28,10.19,3.36,2.66,352.69,10.43,7.34,solid
Kidney bean curry (Rajmah curry),120.5,5.77,1.9,2.49,354.6,5.95,5.83,solid
Sambar,85.0,4.38,1.31,3.31,159.54,3.35,3.52,solid
Besan kadhi with pakodies,403.35,42.59,12.78,0.88,60.8,1.64,0.81,solid
Khatta channa,176.2,10.56,3.17,4.75,513.32,6.3,5.26,solid
Sprouted moong dal chat,24.9,0.32,0.11,1.57,87.07,1.35,1.35,solid
Potato cauliflower (Aloo gobhi),106.18,8.13,2.44,0.44,254.76,1.9,3.02,solid
Potato capsicum (Shimla mirch aloo),110.7,9.33,2.8,0.54,277.92,1.41,2.02,solid
Cabbage and peas (Pattagobhi aur matar),56.2,2.64,0.79,0.97,253.73,3.24,3.99,solid
Carrot and fenugreek leaves (Gajar methi),61.92,3.81,1.14,2.11,262.91,2.1,4.43,solid
Potato fenugreek (Aloo methi),121.3,10.04,3.01,0.54,221.93,2.25,2.93,solid
Brinjal bhartha (Baingan ka bhartha),65.12,4.48,1.34,1.82,132.15,1.38,3.27,solid
Dry potato (Sookhe aloo),76.2,4.18,1.25,0.33,199.99,1.62,1.88,solid
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,11.39,3.42,2.06,271.65,2.62,5.59,solid
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,11.56,3.47,1.71,286.06,2.64,5.27,solid
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,8.62,2.59,2.36,219.6,1.82,4.52,solid
Raw turnip with coconut,132.15,11.47,3.44,4.4,275.55,1.8,2.79,solid
Raw papaya with coconut (Papaya thoran),132.75,11.42,3.43,3.82,270.56,1.54,4.31,solid
Stuffed okra (Bharwa bhindi),94.34,7.66,2.3,0.48,210.03,2.08,4.15,solid
Stuffed round gourd (Bharwa tinde),72.8,5.75,1.72,1.96,180.15,1.1,2.1,solid
Stuffed capsicum (Bharwa shimla mirch),78.2,5.7,1.71,1.21,173.94,1.34,2.01,solid
Stuffed brinjal (Bharwa baingan),93.0,7.73,2.32,0.92,212.88,1.53,4.09,solid
Stuffed tomatoes (Bharwa tamatar),93.35,6.06,1.82,2.68,165.85,3.28,2.2,solid
Pea potato curry (Aloo matar),87.8,5.13,1.69,1.86,154.83,3.48,3.61,solid
Pea paneer curry (Matar paneer),134.83,7.75,4.8,3.89,157.34,6.61,3.3,solid
Pea mushroom curry (Matar mushroom),85.1,5.16,1.7,1.82,155.48,3.87,3.86,solid
Pea curry (Matar ki sabzi),91.9,5.11,1.69,1.98,154.75,4.51,4.44,solid
Pea vadi curry,91.2,5.08,1.68,1.92,149.51,4.64,4.28,solid
Paneer curry,176.52,12.38,7.68,6.29,216.09,7.8,1.4,solid
Lotus stem curry (Kamal kakdi curry),98.2,7.25,2.39,2.09,217.05,1.53,3.14,solid
Gravy for kofta,125.59,10.35,3.1,3.73,312.86,1.75,1.96,solid
Pea kofta curry (Matar kofta curry),595.66,63.39,20.92,0.88,83.07,2.01,1.7,solid
Spinach kofta curry (Palak kofta curry),571.78,61.49,20.29,0.82,104.51,1.09,0.92,solid
Paneer kofta curry,670.91,72.06,44.68,1.98,121.72,2.39,0.4,solid
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,67.76,22.36,0.88,108.61,0.96,1.01,solid
Raw banana kofta curry (Kela kofta curry),627.27,67.98,22.43,2.3,88.4,0.62,0.59,solid
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,69.62,22.97,0.83,93.65,1.04,1.0,solid
Cabbage kofta curry (Pattagobhi kofta curry),639.81,69.4,22.9,0.89,92.85,0.98,0.9,solid
Ghiya/Lauki Kofta Curry,638.71,69.4,22.9,0.82,91.43,0.89,0.83,solid
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,65.41,40.55,1.16,99.37,1.43,0.75,solid
Vegetarian egg kofta curry,627.41,67.24,19.5,1.19,95.89,1.33,0.64,solid
Baked vegetables,79.3,4.44,1.33,2.56,124.7,3.67,2.34,solid
Cauliflower musallam (Phoolgobhi musallam),58.83,3.55,1.06,1.71,123.36,1.89,3.06,solid
Baked vegetables with spinach,70.0,4.03,1.21,2.09,122.85,3.22,2.33,solid
Baked potato with skin,117.5,8.5,2.55,1.66,354.5,3.43,1.2,solid
Shepherd's pie (vegetarian),118.5,7.3,2.19,2.78,118.2,5.04,2.23,solid
Baked brinjal in tomato sauce,38.63,1.62,0.49,2.2,79.66,1.58,2.34,solid
